,X,Y,SPECIES.NAME,training,sp1,sp2,sp3,sp4,sp5,prediction
69313,5137500,4888000,b'Betula pubescens',True,-2.699113607406616,0.5582650303840637,1.8100130558013916,0.7782610654830933,-2.3979716300964355,b'Betula pubescens'
178761,4952500,5141500,b'Betula pubescens',True,-5.42036771774292,-3.2634050846099854,5.571281909942627,-3.9918553829193115,-2.0075995922088623,b'Betula pubescens'
204582,4771500,5187500,b'Betula pubescens',True,-3.025984287261963,0.5676639676094055,1.9930369853973389,0.943163275718689,-2.6144466400146484,b'Betula pubescens'
93784,5196500,4274500,b'Betula pubescens',False,-2.889298677444458,2.704190969467163,2.257354259490967,0.6500924825668335,-5.602808475494385,b'Picea abies'
1918,4486000,3274500,b'Betula pubescens',True,-0.08607012778520584,0.1551201492547989,-1.0011881589889526,0.5176094770431519,0.1888088583946228,b'Pinus sylvestris'
147895,4520500,4721500,b'Betula pubescens',True,-2.897548198699951,0.5404497981071472,1.95469069480896,0.9052470922470093,-2.5653767585754395,b'Betula pubescens'
27332,4317500,4054500,b'Betula pubescens',True,-0.7065871357917786,1.1794511079788208,0.33621418476104736,0.18434254825115204,-1.7778784036636353,b'Picea abies'
12520,4991500,4840500,b'Betula pubescens',True,-2.990532398223877,0.5666339993476868,1.9814281463623047,0.9209704399108887,-2.6012933254241943,b'Betula pubescens'
61534,4164500,4192500,b'Betula pubescens',True,-4.512835502624512,0.5117018222808838,3.537707567214966,1.5221325159072876,-4.258594512939453,b'Betula pubescens'
96563,4311500,4045500,b'Betula pubescens',True,-0.2159791737794876,0.13064448535442352,-1.0755599737167358,0.7148351073265076,0.13600173592567444,b'Pinus sylvestris'
12201,5006500,4283500,b'Betula pubescens',True,-9.765446662902832,2.769521951675415,7.371901512145996,4.566654205322266,-12.525163650512695,b'Betula pubescens'
112604,5058500,4160500,b'Betula pubescens',True,-0.2897440195083618,0.7498599886894226,-0.6362841725349426,0.4698958396911621,-0.6277977228164673,b'Picea abies'
17877,4466500,4757500,b'Betula pubescens',True,-5.97545051574707,2.8841049671173096,4.4926910400390625,2.7906787395477295,-8.428845405578613,b'Betula pubescens'
31258,4526500,3755500,b'Betula pubescens',True,-0.7237141132354736,0.9933523535728455,0.10679705440998077,0.43277907371520996,-1.492321491241455,b'Picea abies'
21823,4928500,4490500,b'Betula pubescens',True,-4.10161018371582,-0.4696691632270813,3.0079665184020996,1.8625479936599731,-3.1368567943573,b'Betula pubescens'
184739,5026500,5064500,b'Betula pubescens',True,-2.613679885864258,0.7066908478736877,1.8944988250732422,0.62868332862854,-2.7048304080963135,b'Betula pubescens'
90206,4150500,3325500,b'Betula pubescens',True,0.7152056097984314,-0.19599854946136475,-1.6757935285568237,-0.5833461284637451,0.9730550050735474,b'Quercus robur'
119486,4948500,4922500,b'Betula pubescens',True,-2.157381296157837,1.1383382081985474,1.8306844234466553,0.4537423253059387,-3.2255356311798096,b'Betula pubescens'
52425,5255000,4542500,b'Betula pubescens',False,-2.7943336963653564,0.55388343334198,1.8771615028381348,0.8709989190101624,-2.497995615005493,b'Betula pubescens'
59166,5149500,4641500,b'Betula pubescens',True,-3.394650459289551,0.5127072930335999,2.3942513465881348,1.1848418712615967,-3.084188938140869,b'Betula pubescens'
150143,4221500,4057500,b'Betula pubescens',True,-0.2076788693666458,0.34690484404563904,-0.9108544588088989,0.6079792380332947,-0.09451961517333984,b'Pinus sylvestris'
56787,5147500,4515500,b'Betula pubescens',True,-2.8511619567871094,0.7277716994285583,2.0601086616516113,0.868684709072113,-2.8146724700927734,b'Betula pubescens'
71441,5075500,4996500,b'Betula pubescens',True,-2.6174492835998535,0.5187615156173706,1.6953413486480713,0.7998483180999756,-2.2485992908477783,b'Betula pubescens'
97752,5132500,4410500,b'Betula pubescens',True,-0.958516538143158,0.31741446256637573,0.29375749826431274,0.6232479810714722,-1.031872272491455,b'Pinus sylvestris'
151649,3085500,2342500,b'Betula pubescens',True,-0.1809537261724472,0.4221978485584259,-1.3540940284729004,0.8535163402557373,-0.1392454206943512,b'Pinus sylvestris'
67050,2982500,2354500,b'Betula pubescens',True,-0.172062948346138,0.19121210277080536,-1.0009164810180664,0.6885216236114502,0.08488669991493225,b'Pinus sylvestris'
4795,5206500,4371500,b'Betula pubescens',True,-5.607475280761719,1.8520469665527344,3.6718502044677734,2.8989012241363525,-7.301476955413818,b'Betula pubescens'
216040,4578500,4955500,b'Betula pubescens',True,-2.9149672985076904,0.5811335444450378,1.9204249382019043,0.8783199787139893,-2.5464608669281006,b'Betula pubescens'
9225,4978500,4438500,b'Betula pubescens',True,-6.4165825843811035,0.04150131717324257,6.729714393615723,1.9857697486877441,-8.375505447387695,b'Betula pubescens'
70398,5040500,4744500,b'Betula pubescens',True,-5.129610538482666,0.16533848643302917,4.686358451843262,2.7143185138702393,-6.181915760040283,b'Betula pubescens'
80023,5035500,4340500,b'Betula pubescens',True,-2.2242956161499023,0.44067466259002686,3.0718517303466797,0.14460481703281403,-4.358193397521973,b'Betula pubescens'
115944,4247500,4007500,b'Betula pubescens',True,-1.129372239112854,1.077859878540039,0.5829375386238098,0.7292625904083252,-2.1346001625061035,b'Picea abies'
